Date,Symbol,Price,Avg IV,IV Rank,PC Ratio,Max Pain
2026-03-26,TSLA,385.95,45.4%,22%,,
2026-03-26,AMZN,211.71,40.1%,48%,,
2026-03-26,NVDA,178.68,40.9%,30%,,
2026-03-26,TSLA,385.95,45.4%,22%,,
2026-03-26,AMZN,211.71,40.1%,48%,,
2026-03-26,NVDA,178.68,40.9%,30%,,
2026-03-26,TSLA,382.42,44.3%,20%,,
2026-03-26,AMZN,211.62,39.7%,47%,,
2026-03-26,NVDA,175.19,39.9%,29%,,
2026-03-26,TSLA,382.76,44.1%,20%,,
2026-03-26,AMZN,211.51,39.3%,46%,,
2026-03-26,NVDA,175.30,39.6%,28%,,
2026-03-27,TSLA,372.11,51.9%,31%,,
2026-03-27,AMZN,207.54,47.4%,65%,,
2026-03-27,NVDA,171.24,50.3%,47%,,
2026-03-27,TSLA,362.93,50.2%,29%,,
2026-03-27,AMZN,201.65,46.9%,64%,,
2026-03-27,NVDA,168.64,48.3%,44%,,
2026-03-27,TSLA,365.19,44.3%,20%,,
2026-03-27,AMZN,200.67,36.9%,41%,,
2026-03-27,NVDA,169.18,39.4%,28%,,
