Date,Symbol,Strategy,Strike,OTM%,Premium,IV,Delta,CP Score,POP,Annualized Return,Expiry,Spread Quality
2026-04-16,TSLA,Sell Put,367.5,-5.1%,6.40,59.9%,-0.2483,47.3,,90.8%,2026-04-24,Good
2026-04-16,TSLA,Sell Put,365.0,-5.7%,5.60,59.5%,-0.2219,48.1,,80.0%,2026-04-24,Good
2026-04-16,TSLA,Sell Put,360.0,-7.0%,4.45,60.1%,-0.1776,50.4,,64.5%,2026-04-24,Good
2026-04-16,TSLA,Sell Put,355.0,-8.3%,3.40,60.3%,-0.1377,52.7,,49.9%,2026-04-24,Good
2026-04-16,TSLA,Sell Put,352.5,-8.9%,2.95,60.3%,-0.1201,54.0,,43.6%,2026-04-24,Good
2026-04-16,TSLA,Sell Put,347.5,-10.2%,2.21,60.5%,-0.0898,56.1,,33.2%,2026-04-24,Good
2026-04-16,TSLA,Sell Call,405.0,+4.6%,6.55,55.4%,0.2951,44.1,,84.3%,2026-04-24,Good
2026-04-16,TSLA,Sell Call,410.0,+5.9%,5.35,55.8%,0.2444,46.5,,68.0%,2026-04-24,Good
2026-04-16,TSLA,Sell Call,415.0,+7.2%,4.30,56.3%,0.2000,49.0,,54.0%,2026-04-24,Good
2026-04-16,TSLA,Sell Call,420.0,+8.5%,3.55,57.2%,0.1639,51.9,,44.1%,2026-04-24,Good
2026-04-16,TSLA,Sell Call,420.0,+8.5%,3.55,57.2%,0.1639,51.9,,44.1%,2026-04-24,Good
2026-04-16,TSLA,Sell Call,425.0,+9.8%,2.85,57.6%,0.1314,54.8,,35.0%,2026-04-24,Good
2026-04-16,TSLA,Sell Put,360.0,-7.0%,6.65,54.2%,-0.2253,45.4,,48.2%,2026-05-01,Good
2026-04-16,TSLA,Sell Put,355.0,-8.3%,5.45,54.6%,-0.1890,48.4,,40.0%,2026-05-01,Good
2026-04-16,TSLA,Sell Put,350.0,-9.6%,4.35,54.8%,-0.1560,51.5,,32.4%,2026-05-01,Good
2026-04-16,TSLA,Sell Put,350.0,-9.6%,4.35,54.8%,-0.1560,51.5,,32.4%,2026-05-01,Good
2026-04-16,TSLA,Sell Call,415.0,+7.2%,6.60,51.2%,0.2660,44.0,,41.5%,2026-05-01,Good
2026-04-16,TSLA,Sell Call,420.0,+8.5%,5.60,51.6%,0.2302,47.3,,34.8%,2026-05-01,Good
2026-04-16,TSLA,Sell Call,420.0,+8.5%,5.60,51.6%,0.2302,47.3,,34.8%,2026-05-01,Good
2026-04-16,TSLA,Sell Call,425.0,+9.8%,4.70,52.0%,0.1982,50.6,,28.8%,2026-05-01,Good
2026-04-16,TSLA,Sell Put,350.0,-9.6%,5.80,51.3%,-0.1831,49.7,,28.8%,2026-05-08,Good
2026-04-16,TSLA,Sell Put,350.0,-9.6%,5.80,51.3%,-0.1831,49.7,,28.8%,2026-05-08,Good
2026-04-16,TSLA,Sell Call,425.0,+9.8%,6.45,49.6%,0.2414,48.5,,26.4%,2026-05-08,Good
2026-04-16,AMZN,Sell Put,235.0,-4.8%,1.12,33.6%,-0.1335,40.6,,24.9%,2026-04-24,Good
2026-04-16,AMZN,Sell Put,235.0,-4.8%,4.95,50.4%,-0.2837,39.4,,54.9%,2026-05-01,Good
2026-04-16,AMZN,Sell Put,230.0,-6.9%,3.55,50.0%,-0.2132,44.3,,40.2%,2026-05-01,Good
2026-04-16,AMZN,Sell Put,230.0,-6.9%,3.55,50.0%,-0.2132,44.3,,40.2%,2026-05-01,Good
2026-04-16,AMZN,Sell Put,225.0,-8.9%,2.54,50.8%,-0.1572,49.4,,29.4%,2026-05-01,Good
2026-04-16,AMZN,Sell Put,225.0,-8.9%,2.54,50.8%,-0.1572,49.4,,29.4%,2026-05-01,Good
2026-04-16,AMZN,Sell Put,220.0,-10.9%,1.78,52.0%,-0.1139,52.2,,21.1%,2026-05-01,Good
2026-04-16,AMZN,Sell Call,260.0,+5.3%,4.40,46.3%,0.3085,38.4,,44.1%,2026-05-01,Good
2026-04-16,AMZN,Sell Call,260.0,+5.3%,4.40,46.3%,0.3085,38.4,,44.1%,2026-05-01,Good
2026-04-16,AMZN,Sell Call,265.0,+7.3%,3.20,46.3%,0.2389,43.6,,31.5%,2026-05-01,Good
2026-04-16,AMZN,Sell Call,265.0,+7.3%,3.20,46.3%,0.2389,43.6,,31.5%,2026-05-01,Good
2026-04-16,AMZN,Sell Call,270.0,+9.3%,2.25,46.2%,0.1788,49.0,,21.7%,2026-05-01,Good
2026-04-16,AMZN,Sell Call,270.0,+9.3%,2.25,46.2%,0.1788,49.0,,21.7%,2026-05-01,Good
2026-04-16,AMZN,Sell Put,235.0,-4.8%,5.65,45.5%,-0.2960,36.7,,41.8%,2026-05-08,Good
2026-04-16,AMZN,Sell Put,230.0,-6.9%,4.15,46.0%,-0.2337,42.0,,31.4%,2026-05-08,Good
2026-04-16,AMZN,Sell Put,230.0,-6.9%,4.15,46.0%,-0.2337,42.0,,31.4%,2026-05-08,Good
2026-04-16,AMZN,Sell Put,225.0,-8.9%,3.05,46.5%,-0.1794,47.4,,23.6%,2026-05-08,Good
2026-04-16,AMZN,Sell Put,225.0,-8.9%,3.05,46.5%,-0.1794,47.4,,23.6%,2026-05-08,Good
2026-04-16,AMZN,Sell Put,220.0,-10.9%,2.26,46.9%,-0.1334,50.6,,17.9%,2026-05-08,Good
2026-04-16,AMZN,Sell Call,260.0,+5.3%,5.15,41.6%,0.3311,36.0,,34.4%,2026-05-08,Good
2026-04-16,AMZN,Sell Call,260.0,+5.3%,5.15,41.6%,0.3311,36.0,,34.4%,2026-05-08,Good
2026-04-16,AMZN,Sell Call,265.0,+7.3%,3.70,41.6%,0.2654,41.3,,24.3%,2026-05-08,Good
2026-04-16,AMZN,Sell Call,265.0,+7.3%,3.70,41.6%,0.2654,41.3,,24.3%,2026-05-08,Good
2026-04-16,AMZN,Sell Call,270.0,+9.3%,2.64,41.6%,0.2075,47.0,,17.0%,2026-05-08,Good
